Modelo,Almacenamiento,PrecioB2B,PrecioB2C,Tipo,Pantalla,Año,Procesador,descripcion,tipo,pantalla,procesador,año,almacenamiento,preciob2b,preciob2c
iPhone XS Max,256GB,105,,iPhone,,,,iPhone XS Max,iPhone,Nan,Nan,0,256 GB,105.0,
iPhone XS Max,512GB,110,,iPhone,,,,iPhone XS Max,iPhone,Nan,Nan,0,512 GB,110.0,
iPhone XS Max,64GB,90,,iPhone,,,,iPhone XS Max,iPhone,Nan,Nan,0,64 GB,90.0,
iPhone XS,256GB,75,,iPhone,,,,iPhone XS,iPhone,Nan,Nan,0,256 GB,75.0,
iPhone XS,512GB,90,,iPhone,,,,iPhone XS,iPhone,Nan,Nan,0,512 GB,90.0,
iPhone XS,64GB,65,,iPhone,,,,iPhone XS,iPhone,Nan,Nan,0,64 GB,65.0,
iPhone XR,128GB,80,,iPhone,,,,iPhone XR,iPhone,Nan,Nan,0,128 GB,80.0,
iPhone XR,256GB,90,,iPhone,,,,iPhone XR,iPhone,Nan,Nan,0,256 GB,90.0,
iPhone XR,64GB,70,,iPhone,,,,iPhone XR,iPhone,Nan,Nan,0,64 GB,70.0,
iPhone X,64GB,50,,iPhone,,,,iPhone X,iPhone,Nan,Nan,0,64 GB,50.0,
iPhone X,256GB,60,,iPhone,,,,iPhone X,iPhone,Nan,Nan,0,256 GB,60.0,
iPhone SE (3rd generation),128GB,105,,iPhone,,,,iPhone SE (3rd generation),iPhone,Nan,Nan,0,128 GB,105.0,
iPhone SE (3rd generation),256GB,120,,iPhone,,,,iPhone SE (3rd generation),iPhone,Nan,Nan,0,256 GB,120.0,
iPhone SE (3rd generation),64GB,90,,iPhone,,,,iPhone SE (3rd generation),iPhone,Nan,Nan,0,64 GB,90.0,
iPhone SE (2nd generation),128GB,40,,iPhone,,,,iPhone SE (2nd generation),iPhone,Nan,Nan,0,128 GB,40.0,
iPhone SE (2nd generation),256GB,50,,iPhone,,,,iPhone SE (2nd generation),iPhone,Nan,Nan,0,256 GB,50.0,
iPhone SE (2nd generation),64GB,30,,iPhone,,,,iPhone SE (2nd generation),iPhone,Nan,Nan,0,64 GB,30.0,
iPhone 8 Plus,64GB,45,,iPhone,,,,iPhone 8 Plus,iPhone,Nan,Nan,0,64 GB,45.0,
iPhone 8 Plus,256GB,60,,iPhone,,,,iPhone 8 Plus,iPhone,Nan,Nan,0,256 GB,60.0,
iPhone 8 Plus,128GB,55,,iPhone,,,,iPhone 8 Plus,iPhone,Nan,Nan,0,128 GB,55.0,
iPhone 15 Pro Max,1TB,625,,iPhone,,,,iPhone 15 Pro Max,iPhone,Nan,Nan,0,1 TB,625.0,
iPhone 15 Pro Max,256GB,565,,iPhone,,,,iPhone 15 Pro Max,iPhone,Nan,Nan,0,256 GB,565.0,
iPhone 15 Pro Max,512GB,595,,iPhone,,,,iPhone 15 Pro Max,iPhone,Nan,Nan,0,512 GB,595.0,
iPhone 15 Pro,128GB,550,,iPhone,,,,iPhone 15 Pro,iPhone,Nan,Nan,0,128 GB,550.0,
iPhone 15 Pro,1TB,650,,iPhone,,,,iPhone 15 Pro,iPhone,Nan,Nan,0,1 TB,650.0,
iPhone 15 Pro,256GB,585,,iPhone,,,,iPhone 15 Pro,iPhone,Nan,Nan,0,256 GB,585.0,
iPhone 15 Pro,512GB,635,,iPhone,,,,iPhone 15 Pro,iPhone,Nan,Nan,0,512 GB,635.0,
iPhone 15 Plus,128GB,395,,iPhone,,,,iPhone 15 Plus,iPhone,Nan,Nan,0,128 GB,395.0,
iPhone 15 Plus,256GB,410,,iPhone,,,,iPhone 15 Plus,iPhone,Nan,Nan,0,256 GB,410.0,
iPhone 15 Plus,512GB,440,,iPhone,,,,iPhone 15 Plus,iPhone,Nan,Nan,0,512 GB,440.0,
iPhone 15,128GB,360,,iPhone,,,,iPhone 15,iPhone,Nan,Nan,0,128 GB,360.0,
iPhone 15,256GB,380,,iPhone,,,,iPhone 15,iPhone,Nan,Nan,0,256 GB,380.0,
iPhone 15,512GB,400,,iPhone,,,,iPhone 15,iPhone,Nan,Nan,0,512 GB,400.0,
iPhone 14 Pro Max,128GB,420,,iPhone,,,,iPhone 14 Pro Max,iPhone,Nan,Nan,0,128 GB,420.0,
iPhone 14 Pro Max,1TB,470,,iPhone,,,,iPhone 14 Pro Max,iPhone,Nan,Nan,0,1 TB,470.0,
iPhone 14 Pro Max,256GB,445,,iPhone,,,,iPhone 14 Pro Max,iPhone,Nan,Nan,0,256 GB,445.0,
iPhone 14 Pro Max,512GB,460,,iPhone,,,,iPhone 14 Pro Max,iPhone,Nan,Nan,0,512 GB,460.0,
iPhone 14 Pro,128GB,345,,iPhone,,,,iPhone 14 Pro,iPhone,Nan,Nan,0,128 GB,345.0,
iPhone 14 Pro,1TB,410,,iPhone,,,,iPhone 14 Pro,iPhone,Nan,Nan,0,1 TB,410.0,
iPhone 14 Pro,256GB,375,,iPhone,,,,iPhone 14 Pro,iPhone,Nan,Nan,0,256 GB,375.0,
iPhone 14 Pro,512GB,395,,iPhone,,,,iPhone 14 Pro,iPhone,Nan,Nan,0,512 GB,395.0,
