Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
iPhone XS Max	256GB	105		iPhone			
iPhone XS Max	512GB	110		iPhone			
iPhone XS Max	64GB	90		iPhone			
iPhone XS	256GB	75		iPhone			
iPhone XS	512GB	90		iPhone			
iPhone XS	64GB	65		iPhone			
iPhone XR	128GB	80		iPhone			
iPhone XR	256GB	90		iPhone			
iPhone XR	64GB	70		iPhone			
iPhone X	64GB	50		iPhone			
iPhone X	256GB	60		iPhone			
iPhone SE (3rd generation)	128GB	105		iPhone			
iPhone SE (3rd generation)	256GB	120		iPhone			
iPhone SE (3rd generation)	64GB	90		iPhone			
iPhone SE (2nd generation)	128GB	40		iPhone			
iPhone SE (2nd generation)	256GB	50		iPhone			
iPhone SE (2nd generation)	64GB	30		iPhone			
iPhone 8 Plus	64GB	45		iPhone			
iPhone 8 Plus	256GB	60		iPhone			
iPhone 8 Plus	128GB	55		iPhone			
iPhone 15 Pro Max	1TB	625		iPhone			
iPhone 15 Pro Max	256GB	565		iPhone			
iPhone 15 Pro Max	512GB	595		iPhone			
iPhone 15 Pro	128GB	550		iPhone			
iPhone 15 Pro	1TB	650		iPhone			
iPhone 15 Pro	256GB	585		iPhone			
iPhone 15 Pro	512GB	635		iPhone			
iPhone 15 Plus	128GB	395		iPhone			
iPhone 15 Plus	256GB	410		iPhone			
iPhone 15 Plus	512GB	440		iPhone			
iPhone 15	128GB	360		iPhone			
iPhone 15	256GB	380		iPhone			
iPhone 15	512GB	400		iPhone			
iPhone 14 Pro Max	128GB	420		iPhone			
iPhone 14 Pro Max	1TB	470		iPhone			
iPhone 14 Pro Max	256GB	445		iPhone			
iPhone 14 Pro Max	512GB	460		iPhone			
iPhone 14 Pro	128GB	345		iPhone			
iPhone 14 Pro	1TB	410		iPhone			
iPhone 14 Pro	256GB	375		iPhone			
iPhone 14 Pro	512GB	395		iPhone			
iPhone 14 Plus	128GB	285		iPhone			
iPhone 14 Plus	256GB	320		iPhone			
iPhone 14 Plus	512GB	325		iPhone			
iPhone 14	128GB	275		iPhone			
