Modelo,Almacenamiento,Apple Trade In,Precio,Tipo,Pantalla,Año,Procesador
"MacBook Air (13 pulgadas, 2017) A1466 Core i5 1.8",128 GB,50 €,55 €,MacBook Air,13 pulgadas,2017,Core i5 1.8
"MacBook Air (13 pulgadas, 2017) A1466 Core i5 1.8",256 GB,60 €,65 €,MacBook Air,13 pulgadas,2017,Core i5 1.8
"MacBook Air (13 pulgadas, 2017) A1466 Core i5 1.8",512 GB,70 €,75 €,MacBook Air,13 pulgadas,2017,Core i5 1.8
"MacBook Air (13 pulgadas, 2017) A1466 Core i7 2.2",128 GB,55 €,60 €,MacBook Air,13 pulgadas,2017,Core i7 2.2
"MacBook Air (13 pulgadas, 2017) A1466 Core i7 2.2",256 GB,60 €,65 €,MacBook Air,13 pulgadas,2017,Core i7 2.2
"MacBook Air (13 pulgadas, 2017) A1466 Core i7 2.2",512 GB,70 €,75 €,MacBook Air,13 pulgadas,2017,Core i7 2.2
"MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6",128 GB,120 €,125 €,MacBook Air,13 pulgadas,2018,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6",256 GB,135 €,140 €,MacBook Air,13 pulgadas,2018,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6",512 GB,140 €,145 €,MacBook Air,13 pulgadas,2018,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6",1.5 TB,150 €,155 €,MacBook Air,13 pulgadas,2018,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6",128 GB,155 €,160 €,MacBook Air,13 pulgadas,2019,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6",256 GB,165 €,170 €,MacBook Air,13 pulgadas,2019,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6",512 GB,175 €,180 €,MacBook Air,13 pulgadas,2019,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6",1 TB,185 €,190 €,MacBook Air,13 pulgadas,2019,Core i5 1.6
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1",256 GB,170 €,175 €,MacBook Air,13 pulgadas,2020,Core i3 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1",512 GB,175 €,180 €,MacBook Air,13 pulgadas,2020,Core i3 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1",1 TB,180 €,185 €,MacBook Air,13 pulgadas,2020,Core i3 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1",2 TB,185 €,190 €,MacBook Air,13 pulgadas,2020,Core i3 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1",256 GB,190 €,195 €,MacBook Air,13 pulgadas,2020,Core i5 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1",512 GB,195 €,200 €,MacBook Air,13 pulgadas,2020,Core i5 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1",1 TB,205 €,210 €,MacBook Air,13 pulgadas,2020,Core i5 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1",2 TB,215 €,220 €,MacBook Air,13 pulgadas,2020,Core i5 1.1
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2",256 GB,200 €,205 €,MacBook Air,13 pulgadas,2020,Core i7 1.2
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2",512 GB,225 €,230 €,MacBook Air,13 pulgadas,2020,Core i7 1.2
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2",1 TB,250 €,255 €,MacBook Air,13 pulgadas,2020,Core i7 1.2
"MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2",2 TB,260 €,265 €,MacBook Air,13 pulgadas,2020,Core i7 1.2
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 7 Core GPU",128 GB,230 €,235 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 7 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 7 Core GPU",256 GB,230 €,235 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 7 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 7 Core GPU",512 GB,255 €,260 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 7 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 7 Core GPU",1 TB,265 €,270 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 7 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 7 Core GPU",2 TB,305 €,310 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 7 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 8 Core GPU",512 GB,265 €,270 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 8 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 8 Core GPU",1 TB,270 €,275 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 8 Core GPU
"MacBook Air (M1, 13 pulgadas 2020) A2337 8 Core CPU 8 Core GPU",2 TB,315 €,320 €,MacBook Air,13 pulgadas,2020,M1 8 Core GPU 8 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 8 Core GPU",256 GB,290 €,295 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 8 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 8 Core GPU",512 GB,330 €,335 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 8 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 8 Core GPU",1 TB,335 €,340 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 8 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 8 Core GPU",2 TB,395 €,400 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 8 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 10 Core GPU",256 GB,295 €,300 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 10 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 10 Core GPU",512 GB,330 €,335 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 10 Core GPU
"MacBook Air (M2, 13 pulgadas 2022) A2681 8 Core CPU 10 Core GPU",1 TB,340 €,345 €,MacBook Air,13 pulgadas,2022,M2 8 Core CPU 10 Core GPU
